,t,x,y,z
,0,0,0,0
,,,,
9167,91.67,0.73162426679,1.46890045775,6.00530425112
9168,91.68,0.801785312313,1.61440005562,5.85788397684
9169,91.69,0.879115762823,1.77498269291,5.71651110971
9170,91.7,0.964368699558,1.95224127471,5.5814833385
9171,91.71,1.05837712349,2.14793428478,5.45318878377
9172,91.72,1.16206210685,2.36400128877,5.33212501941
9173,91.73,1.27644164425,2.60257918572,5.21892226091
9174,91.74,1.40264020804,2.86601895662,5.11437160982
9175,91.75,1.5418989882,3.15690251473,5.01945942176
9176,91.76,1.69558676129,3.47805906348,4.93540907085
9177,91.77,1.86521128175,3.83258009455,4.8637316185
9178,91.78,2.0524310164,4.22383178599,4.80628715548
9179,91.79,2.25906694214,4.65546305618,4.76535886769
9180,91.8,2.48711398734,5.13140685133,4.74374216193
9181,91.81,2.73875150701,5.65587133903,4.74485145222
9182,91.82,3.01635192302,6.23331648305,4.77284740322
9183,91.83,3.32248631297,6.86840990373,4.83278748082
9184,91.84,3.65992526667,7.56595389494,4.93080245204
9185,91.85,4.03163271601,8.33077287208,5.0743008291
9186,91.86,4.44074964111,9.16754727831,5.27220189585
9187,91.87,4.89056352126,10.0805760193,5.535195501
9188,91.88,5.38445808561,11.0734448596,5.87602270012
9189,91.89,5.92583628949,12.1485730908,6.30976482541
9190,91.9,6.51800748034,13.3066056753,6.85411867169
9191,91.91,7.16402745607,14.5456140018,7.52962099719
9192,91.92,7.86647768573,15.8600672055,8.35976509993
9193,91.93,8.62716764841,17.2395408125,9.37092462702
9194,91.94,9.44674260963,18.6671450937,10.5919644974
9195,91.95,10.324179161,20.1176889943,12.0533771508
9196,91.96,11.2561540405,21.5556561555,13.7857391897
9197,91.97,12.2362804106,22.9331681107,15.8172501336
9198,91.98,13.2542229863,24.1882554577,18.1701126166
9199,91.99,14.2947328514,25.2439519747,20.8555762648
9200,92.0,15.3366879162,26.0089509648,23.867643658
9201,92.01,16.3522871486,26.3807627794,27.1757802624
9202,92.02,17.3066219608,26.2523779989,30.7175178096
9203,92.03,18.1579224698,25.5232017495,34.3925653891
9204,92.04,18.8588208592,24.1142808103,38.0607864935
9205,92.05,19.3589435668,21.9864669222,41.5468142445
9206,92.06,19.6089852581,19.1582703657,44.6536384794
9207,92.07,19.5660941022,15.7183352988,47.1857062373
9208,92.08,19.199931755,11.8267814004,48.9788698967
9209,92.09,18.4982843344,7.70128131422,49.9307524781
9210,92.1,17.4708145345,3.58809023128,50.0226400471
